ID	A13B_CTAGCT_L002_R1_001	A2B_3_CACTCA_L005_R1_001	A5B_CAGGCG_L006_R1_001	A6B_CATGGC_L007_R1_001	A7B_CATTTT_L008_R1_001	A8B_CCAACA_L001_R1_001	A9B_CGGAAT_L002_R1_001	B12B_TCATTC_L002_R1_001	B13B_TCCCGA_L003_R1_001	B14B_TCGAAG_L003_R1_001	B1B_1_CTATAC_L003_R1_001	B2B_CTCAGA_L003_R1_001	B3B_GACGAC_L006_R1_001	B4B_TAATCG_L007_R1_001	B8B_TACAGC_L008_R1_001	B9B_TATAAT_L001_R1_001	C12B_ACAGTG_L001_R1_001	C13B_GCCAAT_L002_R1_001	C1B_TCGGCA_L005_R1_001	C2B_ATCACG_L006_R1_001	C3B_CGATGT_L005_R1_001	C6B_TTAGGC_L007_R1_001	C8B_TGACCA_L008_R1_001	D10B_GATCAG_L006_R1_001	D11B_TAGCTT_L007_R1_001	D12B_GGCTAC_L008_R1_001	D13B_CTTGTA_L001_R1_001	D14B_AGTCAA_L002_R1_001	D2B_CAGATC_L003_R1_001	D7B_ACTTGA_L005_R1_001
hsa-let-7a-1	6316	13153	13074	8575	10063	19593	7104	9391	7191	20725	10557	7710	12229	7573	11706	13104	11880	84823	7844	12480	7098	10822	7718	6743	9952	20941	10216	7678	1903	7480
hsa-let-7a-2	6159	13029	12741	8415	9916	19089	7140	9188	7045	20445	10507	7411	12035	7420	11764	13168	11415	84177	7820	12240	7039	11000	7589	6443	9815	21010	10517	7641	1912	7379
hsa-let-7a-3	6279	12938	12974	8680	10001	19536	7201	9239	7494	20623	10607	7761	12231	7685	11780	13225	11780	84621	7868	12289	7034	10925	7901	6544	10015	21242	10476	7711	1991	7532
hsa-let-7b	14190	22876	6136	8025	13404	40205	8463	18714	7877	26506	10278	2333	26212	8855	21160	14195	23458	44055	7934	11803	12339	18696	12476	12215	14675	20800	12854	9764	2691	22202
hsa-let-7c	82	84	96	87	73	176	44	62	67	245	53	54	77	70	82	108	86	567	44	96	81	90	69	46	98	136	111	46	14	82
hsa-let-7d	4511	7193	8100	5932	5427	9252	4596	5339	4683	10486	6162	10937	5540	4706	5498	8652	5226	25120	4099	6026	4605	5922	3691	3490	5511	7726	4951	3893	1797	3979
hsa-let-7e	9	12	40	12	29	30	12	29	26	16	24	22	26	16	10	31	28	43	18	32	7	25	19	34	19	18	9	15	17	11
hsa-let-7f-1	6868	13726	16391	9007	9638	25967	6988	7545	7177	29007	10123	24515	11133	8321	13105	13747	10187	161564	6291	13845	6694	8028	7824	5429	9433	30205	14310	7596	2677	5379
hsa-let-7f-2	6795	13702	16485	8827	9721	26069	6804	7510	7068	29051	10229	24327	11014	8329	13164	13644	10162	161685	6228	13698	6694	8037	7648	5324	9500	30612	14693	7459	2573	5458
hsa-let-7g	3770	7898	8365	5046	5565	15008	3783	5182	4117	16093	5862	5379	7932	5401	7225	7128	6404	94770	3778	8359	3626	5316	5236	3173	5891	14011	7459	4873	818	3529
hsa-let-7i	11038	23168	14776	14531	17427	40566	6824	15159	9998	39034	12628	10437	25645	14581	18176	17551	15986	87657	7677	18240	11040	11555	15965	9259	11784	25504	18450	9525	4003	12410
hsa-mir-1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-mir-1-2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-mir-100	3056	26	3599	3212	32	102	1217	3667	3092	100	2128	983	2414	81	1736	10529	3720	42	1649	2802	45	146	3642	8898	88	2057	3029	109	7	28
hsa-mir-101-1	4501	8548	3630	4378	3819	16657	2443	4056	3182	12830	4052	2959	9780	4274	7540	2987	5443	30224	1898	5417	3604	1587	5589	1327	3852	7349	6734	2916	635	5014
hsa-mir-101-2	4688	8988	3833	4688	4132	17751	2726	4150	3381	13627	4362	3083	10411	4521	8108	3178	5614	31661	2037	5688	3659	1696	5735	1336	4119	7659	6902	3150	644	5377
hsa-mir-103a-1	4737	6959	3635	3188	5326	12584	2995	4789	3295	8423	4333	2412	8656	4385	6009	3214	5870	22054	2724	4360	4956	3956	4545	2615	3354	5544	5023	2624	1378	5311
hsa-mir-103a-2	4796	6899	3798	3212	5394	12418	2912	4900	3297	8296	4276	2440	8507	4448	5981	3255	5844	22042	2801	4458	4867	3880	4628	2595	3417	5473	5078	2674	1388	5337
hsa-mir-103b-1	4686	7051	3652	3318	5171	12542	2951	4794	3183	8267	4191	2364	8429	4577	5937	3197	5727	21983	2744	4316	4856	3886	4622	2565	3307	5272	5094	2683	1389	5206
