ID	A13T_CAGATC_L005_R1_001	A5T_CGATGT_L003_R1_001	A6T_TTAGGC_L004_R1_001	A7T_TGACCA_L005_R1_001	A8T_ACAGTG_L003_R1_001	A9T_GCCAAT_L004_R1_001	B12T_AGTTCC_L003_R1_001	B13T_ATGTCA_L004_R1_001	B14T_CCGTCC_L005_R1_001	B1T_ACTTGA_L003_R1_001	B2T_GATCAG_L004_R1_001	B3T_TAGCTT_L005_R1_001	B4T_GGCTAC_L003_R1_001	B8T_CTTGTA_L004_R1_001	B9T_AGTCAA_L005_R1_001	C12T_CGTACG_L005_R1_001	C13T_GAGTGG_L003_R1_001	C1T_GTAGAG_L003_R1_001	C2T_GTCCGC_L004_R1_001	C3T_GTGAAA_L005_R1_001	C6T_GTGGCC_L003_R1_001	C9T_GTTTCG_L004_R1_001	D10T_ATTCCT_L004_R1_001	D11T_CAAAAG_L005_R1_001	D12T_CAACTA_L003_R1_001	D13T_CACCGG_L004_R1_001	D14T_CACGAT_L005_R1_001	D1T_GGTAGC_L004_R1_001	D2T_ACTGAT_L005_R1_001	D7T_ATGAGC_L003_R1_001
hsa-let-7a-1	230410	179336	170866	257617	265445	182565	190119	185753	285466	204906	226586	335367	202131	213378	227035	220561	142973	160019	257291	213848	203438	233160	256412	238442	223093	160459	206814	208252	266316	175277
hsa-let-7a-2	230062	177598	170237	256158	264936	182287	189618	184282	284490	204548	225441	334700	201702	213065	226046	219962	142498	159298	257152	213813	201859	231766	255643	237059	222095	160092	205035	208972	265419	174807
hsa-let-7a-3	230036	178408	170445	255903	264731	182030	189563	185336	284706	204764	225324	335568	200959	213087	226654	221064	142964	160124	256930	213347	201912	232503	255318	238613	223285	160484	206058	208485	266212	175218
hsa-let-7b	79662	82198	60326	85477	88040	66571	65664	66707	105514	69940	77335	105372	69998	95510	85364	76317	51112	57634	88790	73305	72566	80781	87507	80374	76034	53867	73408	80647	92663	55900
hsa-let-7c	59747	55031	41536	56544	52480	37237	43442	49631	73485	46401	58451	73462	41987	65467	55495	66080	36372	44793	69821	47167	48722	59746	81020	62330	67882	47866	57687	57020	78014	43820
hsa-let-7d	12695	10057	8648	13077	12064	8672	9521	10245	13147	10896	12547	14753	10637	13377	12448	11395	6716	7947	12906	12098	9668	10811	12001	11411	10815	8867	10111	11499	14155	7815
hsa-let-7e	11897	6953	6842	11293	11176	7425	8132	8445	10976	8833	10774	11974	7405	9894	9257	9926	5356	8046	10649	10528	8583	10840	10899	10287	10561	7876	9183	9488	12131	7236
hsa-let-7f-1	196557	133815	137059	202733	195850	148602	156380	141508	186444	170801	169023	198079	154569	168765	174442	160316	94625	110808	176778	166521	132654	172009	159928	170181	156700	117769	147668	155464	178396	113390
hsa-let-7f-2	209685	143312	147094	217256	207856	159265	166677	151014	199034	181902	181619	211219	166099	180969	184813	171119	101812	118268	188586	177528	141424	182368	169509	181562	166761	125687	157711	164996	189867	120328
hsa-let-7g	79948	65616	53836	78688	87950	55002	61638	58644	89769	63210	71083	86059	60962	78041	72875	67671	38880	45286	80082	68413	66211	70716	75082	69585	66026	40348	63346	65363	83828	46984
hsa-let-7i	42134	45784	28397	41947	43883	31645	32123	33265	42194	37775	42529	44905	31641	54353	46695	43662	25651	31510	46417	31452	35610	35102	54580	38040	48028	30835	48182	49258	59186	28629
hsa-mir-1-1	28	10	12	21	24	11	16	18	26	24	23	34	11	10	28	22	12	34	41	35	26	36	16	45	25	55	23	52	23	18
hsa-mir-1-2	30	12	17	26	38	11	26	19	29	22	24	50	11	11	30	24	6	36	45	42	43	46	23	51	23	58	30	43	28	13
hsa-mir-100	15786	15975	12379	16260	15039	10296	10609	16496	19380	16020	14261	21158	13073	22137	15986	24892	12229	14645	20424	16247	15109	21734	24528	16758	20247	12671	18633	26980	24508	15559
hsa-mir-101-1	21364	22746	20719	22117	22186	15216	23652	13207	20694	18482	17477	21143	13895	19031	25725	22722	11610	16159	21245	20615	15047	23330	19168	21657	16731	16247	23058	22445	27450	14385
hsa-mir-101-2	23498	25117	22998	24059	24418	17008	25659	14651	22557	20214	18716	23293	15013	20746	27738	24625	12477	17659	22936	22460	16467	25421	20723	23473	18315	17386	24749	24392	29651	15781
hsa-mir-103a-1	5678	5496	3438	5504	5769	3860	3537	5103	5801	5047	5302	5462	4553	6740	4525	5884	2991	3836	5826	5727	4532	4580	5343	5006	4979	3679	4880	4552	6302	3519
hsa-mir-103a-2	5592	5488	3600	5672	5615	3912	3764	4847	6046	5097	5323	5464	4832	6857	4448	5971	2941	4040	5848	5723	4506	4654	5190	5187	5200	3739	5003	4585	6320	3658
hsa-mir-103b-1	5482	5146	3553	5482	5494	3865	3522	4775	5941	5049	5111	5461	4658	6507	4308	5568	2920	3852	5610	5601	4317	4452	4951	4933	4911	3510	4665	4346	6050	3482
hsa-mir-103b-2	5420	5092	3386	5492	5592	3704	3601	4697	5770	5013	5059	5342	4566	6544	4181	5766	2996	3807	5720	5477	4345	4563	4985	4850	4844	3623	4748	4378	6047	3420
hsa-mir-105-1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-mir-105-2	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
hsa-mir-106a	55	40	24	77	41	31	21	47	85	43	40	65	16	59	79	75	7	25	61	77	21	41	26	53	35	18	60	29	108	12
hsa-mir-106b	2934	3171	2047	3491	2929	2580	2480	3076	3261	3943	3211	2713	2707	4683	3558	3178	1364	1946	3950	3739	2212	2843	2360	3043	2770	2106	3087	2298	4393	1576
hsa-mir-107	1496	1427	911	1544	1336	1068	946	1161	1438	1301	1510	1451	1173	1842	1064	1343	734	908	1397	1549	996	1245	1211	1349	1191	1026	1349	1044	1534	905
hsa-mir-10a	198472	191870	118407	200021	221599	146212	164285	243807	210776	187994	190821	292112	191821	303012	203626	375955	162550	164101	262954	249685	213689	289179	320640	241494	237944	221517	238834	338914	314958	217495
hsa-mir-10b	636524	600075	477299	640833	645788	464601	574606	590328	661232	506868	527407	802341	469718	665629	593398	747460	470933	486360	682147	607130	620704	812964	781136	710062	659348	394633	614851	663060	745154	567314
hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
