Mature miRNA	1_Active_060110 	5_Senescent_030711 	2_Active_060110 	6_ Senescent_030711 
hsa-let-7a-2-3p	52	80	65	103
hsa-let-7a-3p	3162	4984	3917	5420
hsa-let-7a-5p	1510977	1355830	2164788	1626580
hsa-let-7b-3p	2672	2971	3497	3885
hsa-let-7b-5p	105320	89968	154224	106597
hsa-let-7c-3p	0	7	6	10
hsa-let-7c-5p	2343	2361	3460	2737
hsa-let-7d-3p	1536	2676	2011	4155
hsa-let-7d-5p	7143	8103	10008	10323
hsa-let-7e-3p	184	356	234	415
hsa-let-7e-5p	16491	19864	22169	23104
hsa-let-7f-1-3p	294	450	313	538
hsa-let-7f-2-3p	325	526	416	605
hsa-let-7f-5p	281022	295576	380329	365300
hsa-let-7g-3p	82	105	95	161
hsa-let-7g-5p	41862	43106	57172	52335
hsa-let-7i-3p	162	142	208	225
hsa-let-7i-5p	39471	39504	52295	50175
hsa-miR-1-3p	0	0	0	0
hsa-miR-1-5p	0	0	0	0
hsa-miR-100-3p	2468	2890	3000	3797
hsa-miR-100-5p	569890	485376	784134	551571
hsa-miR-101-3p	21733	27514	29342	35213
hsa-miR-101-5p	24	23	37	22
hsa-miR-103a-2-5p	4	16	5	7
hsa-miR-103a-3p	53486	76483	71097	90306
hsa-miR-103b	0	0	0	0
hsa-miR-105-3p	0	0	0	0
hsa-miR-105-5p	0	0	0	2
hsa-miR-106a-3p	0	0	0	0
hsa-miR-106a-5p	33	63	44	59
hsa-miR-106b-3p	778	1469	989	1836
hsa-miR-106b-5p	735	1284	965	1383
hsa-miR-107	3294	4529	4227	5654
hsa-miR-10a-3p	16	56	22	63
hsa-miR-10a-5p	25837	60419	33774	62408
hsa-miR-10b-3p	8	27	18	21
hsa-miR-10b-5p	52205	58243	68452	63848
hsa-miR-1178-3p	0	0	0	0
hsa-miR-1178-5p	0	0	0	0
hsa-miR-1179	0	0	0	0
hsa-miR-1180-3p	195	411	218	584
hsa-miR-1180-5p	0	5	1	4
hsa-miR-1181	0	0	0	0
hsa-miR-1182	0	0	0	0
hsa-miR-1183	0	0	0	0
hsa-miR-1184	0	0	0	0
hsa-miR-1185-1-3p	57	164	61	195
hsa-miR-1185-2-3p	16	39	22	57
hsa-miR-1185-5p	78	122	142	168
hsa-miR-1193	0	0	0	0
hsa-miR-1197	2	23	8	26
hsa-miR-1199-3p	0	0	0	0
hsa-miR-1199-5p	0	0	0	0
hsa-miR-1200	0	0	0	0
hsa-miR-1202	0	0	0	0
hsa-miR-1203	0	0	0	0
hsa-miR-1204	0	0	0	0
hsa-miR-1205	0	0	0	0
hsa-miR-1206	0	0	0	0
hsa-miR-1207-3p	0	0	0	0
hsa-miR-1207-5p	0	0	0	0
hsa-miR-1208	0	0	0	0
hsa-miR-122-3p	0	0	0	0
hsa-miR-122-5p	4	1	2	0
hsa-miR-1224-3p	0	0	0	0
hsa-miR-1224-5p	0	0	1	1
hsa-miR-1225-3p	0	0	0	0
hsa-miR-1225-5p	0	0	1	0
hsa-miR-1226-3p	5	3	5	10
hsa-miR-1226-5p	2	0	0	2
hsa-miR-1227-3p	0	0	0	0
hsa-miR-1227-5p	0	0	0	0
hsa-miR-1228-3p	8	0	8	6
hsa-miR-1228-5p	0	0	0	2
hsa-miR-1229-3p	2	4	5	9
hsa-miR-1229-5p	0	1	0	0
hsa-miR-1231	0	0	0	0
hsa-miR-1233-3p	2	4	4	2
hsa-miR-1233-5p	0	0	0	0
hsa-miR-1234-3p	4	4	5	8
hsa-miR-1236-3p	0	0	0	0
hsa-miR-1236-5p	0	1	0	0
hsa-miR-1237-3p	0	0	0	2
hsa-miR-1237-5p	0	0	2	1
hsa-miR-1238-3p	0	0	0	0
hsa-miR-1238-5p	0	0	0	0
hsa-miR-124-3p	0	0	0	3
hsa-miR-124-5p	0	0	0	0
hsa-miR-1243	1	1	0	0
hsa-miR-1244	0	0	0	0
hsa-miR-1245a	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0
hsa-miR-1245b-5p	0	1	0	1
hsa-miR-1246	2	2	11	8
hsa-miR-1247-3p	0	0	1	1
hsa-miR-1247-5p	0	4	0	4
hsa-miR-1248	0	0	0	0
hsa-miR-1249-3p	70	68	74	96
