ID,Platte,Library,Barcode,BGI_Sample,ID...6,Location,organ,age,sex,sample_id,Sample_loc,Name
BAT_19-m-27,NA,NA,1,BAT_19,BAT_19-m-27,NA,BAT,27,m,BAT_19-m-27,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/BAT_19/V300106640_L01_1_1.fq.gz,BAT_19-m-27
Heart_4-m-21,NA,NA,25,Heart_04,Heart_4-m-21,NA,Heart,21,m,Heart_4-m-21,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Heart_04/V300106640_L01_25_1.fq.gz,Heart_4-m-21
Heart_9-f-3,NA,NA,26,Heart_09,Heart_9-f-3,NA,Heart,3,f,Heart_9-f-3,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Heart_09/V300106640_L01_26_1.fq.gz,Heart_9-f-3
Small_Intestine_30-m-12,NA,NA,27,Small_Intestine_30,Small_Intestine_30-m-12,NA,Small_Intestine,12,m,Small_Intestine_30-m-12,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Small_Intestine_30/V300106640_L01_27_1.fq.gz,Small_Intestine_30-m-12
Kidney_43-f-18,NA,NA,28,Kidney_43,Kidney_43-f-18,NA,Kidney,18,f,Kidney_43-f-18,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Kidney_43/V300106640_L01_28_1.fq.gz,Kidney_43-f-18
Kidney_16-f-18,NA,NA,29,Kidney_16,Kidney_16-f-18,NA,Kidney,18,f,Kidney_16-f-18,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Kidney_16/V300106640_L01_29_1.fq.gz,Kidney_16-f-18
Brain_1-m-21,NA,NA,2,Brain_01,Brain_1-m-21,NA,Brain,21,m,Brain_1-m-21,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Brain_01/V300106640_L01_2_1.fq.gz,Brain_1-m-21
Kidney_22-m-6,NA,NA,30,Kidney_22,Kidney_22-m-6,NA,Kidney,6,m,Kidney_22-m-6,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Kidney_22/V300106640_L01_30_1.fq.gz,Kidney_22-m-6
Liver_23-m-9,NA,NA,31,Liver_23,Liver_23-m-9,NA,Liver,9,m,Liver_23-m-9,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Liver_23/V300106640_L01_31_1.fq.gz,Liver_23-m-9
Liver_12-m-24,NA,NA,32,Liver_12,Liver_12-m-24,NA,Liver,24,m,Liver_12-m-24,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Liver_12/V300106640_L01_32_1.fq.gz,Liver_12-m-24
Brain_2-m-1,NA,NA,3,Brain_02,Brain_2-m-1,NA,Brain,1,m,Brain_2-m-1,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Brain_02/V300106640_L01_3_1.fq.gz,Brain_2-m-1
Lung_10-f-18,NA,NA,4,Lung_10,Lung_10-f-18,NA,Lung,18,f,Lung_10-f-18,/share/data/miRNA/projects/mgi_seq_libs/F21FTSEUHT0619_MIClgxnR/Lung_10/V300106640_L01_4_1.fq.gz,Lung_10-f-18
Heart_20-f-9,P9,VW36,14,Heart_20,Heart_20-f-9,F5,Heart,9,f,Heart_20-f-9,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Heart_20/V350021595_L04_14_1.fq.gz,Heart_20-f-9
Kidney_18-m-9,P9,VW36,15,Kidney_18,Kidney_18-m-9,G5,Kidney,9,m,Kidney_18-m-9,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Kidney_18/V350021595_L04_15_1.fq.gz,Kidney_18-m-9
Lung_23-m-3,P9,VW36,16,Lung_23,Lung_23-m-3,H5,Lung,3,m,Lung_23-m-3,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Lung_23/V350021595_L04_16_1.fq.gz,Lung_23-m-3
Bone_22-m-21,P9,VW36,1,Bone_22,Bone_22-m-21,A5,Bone,21,m,Bone_22-m-21,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Bone_22/V350021595_L04_1_1.fq.gz,Bone_22-m-21
MAT_28-f-12,P9,VW36,25,MAT_28,MAT_28-f-12,A6,MAT,12,f,MAT_28-f-12,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/MAT_28/V350021595_L04_25_1.fq.gz,MAT_28-f-12
Bone_49-m-9,P9,VW36,26,Bone_49,Bone_49-m-9,B6,Bone,9,m,Bone_49-m-9,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Bone_49/V350021595_L04_26_1.fq.gz,Bone_49-m-9
Limb_Muscle_15-m-3,P9,VW36,27,Limb_Muscle_15,Limb_Muscle_15-m-3,C6,Limb_Muscle,3,m,Limb_Muscle_15-m-3,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Limb_Muscle_15/V350021595_L04_27_1.fq.gz,Limb_Muscle_15-m-3
Marrow_16-m-15,P9,VW36,28,Marrow_16,Marrow_16-m-15,D6,Marrow,15,m,Marrow_16-m-15,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Marrow_16/V350021595_L04_28_1.fq.gz,Marrow_16-m-15
Small_Intestine_15-m-24,P9,VW36,29,Small_Intestine_15,Small_Intestine_15-m-24,E6,Small_Intestine,24,m,Small_Intestine_15-m-24,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Small_Intestine_15/V350021595_L04_29_1.fq.gz,Small_Intestine_15-m-24
Brain_24-f-9,P9,VW36,2,Brain_24,Brain_24-f-9,B5,Brain,9,f,Brain_24-f-9,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Brain_24/V350021595_L04_2_1.fq.gz,Brain_24-f-9
Skin_24-m-21,P9,VW36,30,Skin_24,Skin_24-m-21,F6,Skin,21,m,Skin_24-m-21,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/Skin_24/V350021595_L04_30_1.fq.gz,Skin_24-m-21
SCAT_30-m-18,P9,VW36,31,SCAT_30,SCAT_30-m-18,G6,SCAT,18,m,SCAT_30-m-18,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/SCAT_30/V350021595_L04_31_1.fq.gz,SCAT_30-m-18
BAT_43-m-21,P9,VW36,3,BAT_43,BAT_43-m-21,C5,BAT,21,m,BAT_43-m-21,/share/data/miRNA/projects/maca_viktoria/F21FTSEUHT1073_LIBijtcR/BAT_43/V350021595_L04_3_1.fq.gz,BAT_43-m-21
BAT_5-m-27,P3,VW13,13,BAT_05,BAT_5-m-27,E9,BAT,27,m,BAT_5-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/BAT_05/V350027368_L01_13_1.fq.gz,BAT_5-m-27
Bone_18-f-3,P3,VW13,14,Bone_18,Bone_18-f-3,F9,Bone,3,f,Bone_18-f-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Bone_18/V350027368_L01_14_1.fq.gz,Bone_18-f-3
Skin_5-f-12,P3,VW13,15,Skin_05,Skin_5-f-12,G9,Skin,12,f,Skin_5-f-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Skin_05/V350027368_L01_15_1.fq.gz,Skin_5-f-12
Spleen_3-m-24,P3,VW13,16,Spleen_03,Spleen_3-m-24,H9,Spleen,24,m,Spleen_3-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Spleen_03/V350027368_L01_16_1.fq.gz,Spleen_3-m-24
GAT_24-f-15,P3,VW13,1,GAT_24,GAT_24-f-15,A9,GAT,15,f,GAT_24-f-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/GAT_24/V350027368_L01_1_1.fq.gz,GAT_24-f-15
Small_Intestine_2-f-21,P3,VW13,26,Small_Intestine_02,Small_Intestine_2-f-21,B10,Small_Intestine,21,f,Small_Intestine_2-f-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Small_Intestine_02/V350027368_L01_26_1.fq.gz,Small_Intestine_2-f-21
SCAT_2-f-9,P3,VW13,27,SCAT_02,SCAT_2-f-9,C10,SCAT,9,f,SCAT_2-f-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/SCAT_02/V350027368_L01_27_1.fq.gz,SCAT_2-f-9
Marrow_2-f-21,P3,VW13,29,Marrow_02,Marrow_2-f-21,E10,Marrow,21,f,Marrow_2-f-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Marrow_02/V350027368_L01_29_1.fq.gz,Marrow_2-f-21
Brain_53-m-9,P3,VW13,2,Brain_53,Brain_53-m-9,B9,Brain,9,m,Brain_53-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Brain_53/V350027368_L01_2_1.fq.gz,Brain_53-m-9
Liver_17-m-21,P3,VW13,30,Liver_17,Liver_17-m-21,F10,Liver,21,m,Liver_17-m-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Liver_17/V350027368_L01_30_1.fq.gz,Liver_17-m-21
Limb_Muscle_55-m-21,P3,VW13,31,Limb_Muscle_55,Limb_Muscle_55-m-21,G10,Limb_Muscle,21,m,Limb_Muscle_55-m-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Limb_Muscle_55/V350027368_L01_31_1.fq.gz,Limb_Muscle_55-m-21
Kidney_46-f-1,P3,VW13,32,Kidney_46,Kidney_46-f-1,H10,Kidney,1,f,Kidney_46-f-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Kidney_46/V350027368_L01_32_1.fq.gz,Kidney_46-f-1
Heart_28-m-1,P3,VW13,3,Heart_28,Heart_28-m-1,C9,Heart,1,m,Heart_28-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Heart_28/V350027368_L01_3_1.fq.gz,Heart_28-m-1
MAT_8-m-3,P3,VW13,4,MAT_08,MAT_8-m-3,D9,MAT,3,m,MAT_8-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/MAT_08/V350027368_L01_4_1.fq.gz,MAT_8-m-3
Small_Intestine_1-m-18,P3,VW14,13,Small_Intestine_01,Small_Intestine_1-m-18,E11,Small_Intestine,18,m,Small_Intestine_1-m-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Small_Intestine_01/V350027368_L02_13_1.fq.gz,Small_Intestine_1-m-18
SCAT_1-m-24,P3,VW14,14,SCAT_01,SCAT_1-m-24,F11,SCAT,24,m,SCAT_1-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/SCAT_01/V350027368_L02_14_1.fq.gz,SCAT_1-m-24
BAT_6-m-24,P3,VW14,15,BAT_06,BAT_6-m-24,G11,BAT,24,m,BAT_6-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/BAT_06/V350027368_L02_15_1.fq.gz,BAT_6-m-24
Liver_18-m-27,P3,VW14,16,Liver_18,Liver_18-m-27,H11,Liver,27,m,Liver_18-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Liver_18/V350027368_L02_16_1.fq.gz,Liver_18-m-27
GAT_25-m-12,P3,VW14,1,GAT_25,GAT_25-m-12,A11,GAT,12,m,GAT_25-m-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/GAT_25/V350027368_L02_1_1.fq.gz,GAT_25-m-12
Pancreas_2-m-3,P3,VW14,25,Pancreas_02,Pancreas_2-m-3,A12,Pancreas,3,m,Pancreas_2-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Pancreas_02/V350027368_L02_25_1.fq.gz,Pancreas_2-m-3
Spleen_1-m-3,P3,VW14,26,Spleen_01,Spleen_1-m-3,B12,Spleen,3,m,Spleen_1-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Spleen_01/V350027368_L02_26_1.fq.gz,Spleen_1-m-3
Bone_19-m-9,P3,VW14,27,Bone_19,Bone_19-m-9,C12,Bone,9,m,Bone_19-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Bone_19/V350027368_L02_27_1.fq.gz,Bone_19-m-9
Limb_Muscle_56-m-18,P3,VW14,29,Limb_Muscle_56,Limb_Muscle_56-m-18,E12,Limb_Muscle,18,m,Limb_Muscle_56-m-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Limb_Muscle_56/V350027368_L02_29_1.fq.gz,Limb_Muscle_56-m-18
Lung_9-m-24,P3,VW14,2,Lung_09,Lung_9-m-24,B11,Lung,24,m,Lung_9-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Lung_09/V350027368_L02_2_1.fq.gz,Lung_9-m-24
Heart_29-m-12,P3,VW14,30,Heart_29,Heart_29-m-12,F12,Heart,12,m,Heart_29-m-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Heart_29/V350027368_L02_30_1.fq.gz,Heart_29-m-12
