	Ctrl_1	Ctrl_2	SDS_D0_1	SDS_D0_2	SDS_D1_1	SDS_D1_2	SDS_D2_1	SDS_D2_2	SDS_D3_1	SDS_D3_2	SDS_D4_1	SDS_D4_2	SDS_D6_1	SDS_D6_2	SDS_D8_1	SDS_D8_2	SDS_D16_1	SDS_D16_2	DXR_D0_1	DXR_D0_2	DXR_D1_1	DXR_D1_2	DXR_D2_1	DXR_D2_2	DXR_D3_1	DXR_D3_2	DXR_D4_1	DXR_D4_2	DXR_D6_1	DXR_D6_2	DXR_D8_1	DXR_D8_2	DXR_D16_1	DXR_D16_2	RS_1	RS_2
hsa-let-7a-5p	27919	29624	12714.33333	8856.5	36155.5	16374.5	39253	19935	63163	38847	60045	34737.5	46248.5	32145.5	61484	36443.16667	200865.5	44493.83333	62769.5	26155	112206.3333	63928.5	51089.5	45615	43574	29184	46248	52608	42313	70479.5	76288	48039.33333	47493	51061.33333	40785.5	63241.66667
hsa-miR-100-5p	18896	27663	7738.5	5753	18869.5	10825.5	27272.5	13598	43198	31401.5	42799.5	30037.5	38128	24375.5	48766	25397.5	160177.5	37332.5	42041.5	25832	89689	45260.5	39170.5	27826	24388	16614.5	25879.5	28637	22932	38937	38364.5	25839	27650.5	40488.5	29823.5	54079
hsa-miR-222-3p	16311	29672	7496	4364	16376	10239	25608	15510	41427	26513	41376	22323	31941	22980	32659	25810	87801	27655	26117	18316	56157	28754	26698	20833	21954	16692	24340	29441	24277	40900	35290	26696	22284	27654	17293	21833
hsa-miR-21-5p	14150	22589	4842	8569	21102	5934	27856	10996	34881	23093	30739	14927	29976	13639	39036	19068	186417	26836	42448	23352	96540	32196	32954	20791	20405	12527	16038	17500	18150	24918	29733	16799	24441	41387	19608	62763
hsa-miR-125b-5p	12345	18525	6199	4030	15521	9938	24230	14059	36995	25124	38056	15804	32288	23115	30160	23651	114671	27578	26858	18718	64348	34801	30343	22134	22610	17883	20824	24238	21148	40552	32345	23605	23453	28970	30047	42113
hsa-miR-10a-5p	7893	10509	3207	2564	8414	4144	12381.5	5536	23039	15033	24753.5	17954	20509.5	15425.5	32330.5	19936.5	91819.5	21118	20341.5	11120	44732	22693.5	20604.5	14015.5	14196	9554.5	15716.5	17046	15527.5	26923.5	28801.5	19083.5	19947	25454.5	18630	27169
hsa-let-7f-5p	6738	8448	2636	3021.5	10181	3198	11053	4630	16623	9886	15970.5	9355.5	13992.5	8922	20602	13332.5	68539	14156.5	19275	8207.5	39080	18971.5	16996.5	12039	11586	7642	10799	12843.5	12083.5	18690	20168	13119	15585	18997	12238.5	21932
hsa-miR-125a-5p	5318	8315	2727	1564	7330	5384	10499	7468	13645	11717	14888	8430	11134	9309	11861	9655	42302	10936	10375	6934	21252	12814	10362	8802	8322	6935	10188	10671	8693	16416	15232	11390	10751	12385	19793	23066
hsa-miR-30d-5p	5125	8188	2103	1405.333333	4530	3240	8394	5375	10221	8720	11368	8434	10295	7029	11980	7564	37406.5	11419	8765.5	8204	20194	9769	9110.333333	6769	5159	4411	5478	6922	6043	10776	9916	7562	7704	9460	9565	13661.5
hsa-miR-92a-3p	4884.5	7972	2723	1571	6005	5137	7959	6532.5	10260	9113	9950.5	6956	6472	4932	7029.5	4834	18119	4062	9590	6660.5	15916	10159	7042.5	6330.5	4452	3956.5	4590	5538.5	3648	6366	5063.5	3948	2620	2733	3003	3003.5
